id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
2312,S,1,M,Parda
2313,N,1,M,Parda
2318,N,2,F,Branca
2321,N,1,F,Branca
2327,N,6,F,Branca
2328,N,4,F,Branca
2329,S,3,F,Parda
2333,N,4,F,Branca
2339,N,6,F,Branca
2343,N,1,F,Branca
2347,N,3,F,Branca
2349,N,2,F,Parda
2350,N,6,F,Branca
2351,N,8,F,Parda
2354,N,8,F,Branca
2355,N,1,F,Parda
2359,S,2,F,Branca
2361,S,2,F,Preta
2363,S,1,F,Branca
2365,N,4,F,Branca
2369,N,6,F,Branca
2370,S,8,F,Preta
2371,S,4,M,Parda
2373,N,3,M,Branca
2374,N,2,M,Parda
2382,S,10,F,Parda
2390,N,1,F,Branca
2391,S,2,M,Indígena
2393,N,10,F,Parda
2395,S,8,M,Parda
2396,N,8,M,Parda
2397,S,4,M,Branca
2399,N,4,M,Branca
2400,N,10,M,Branca
2401,N,8,M,Parda
2402,S,8,M,Parda
2406,N,2,M,Parda
2407,S,2,M,Parda
2408,S,10,M,Parda
2410,N,1,M,Branca
2414,N,2,M,Branca
2418,N,1,M,Branca
2420,N,8,M,Branca
2422,N,2,M,Branca
2427,N,1,M,Branca
2428,N,1,M,Branca
2429,S,4,M,Branca
2430,N,1,M,Parda
2432,S,4,M,Preta
2434,S,3,M,Parda
2437,N,10,M,Branca
2438,N,2,M,Branca
2441,N,6,M,Parda
2442,N,9,M,Parda
2445,N,2,F,Branca
2446,N,1,F,Branca
2449,N,3,M,Branca
2450,N,1,M,Branca
2452,S,4,M,Parda
2458,S,8,M,Parda
2459,S,2,M,Branca
2462,N,6,M,Parda
2466,N,1,M,Branca
2467,N,8,F,Branca
2469,N,2,F,Branca
2470,N,4,F,Branca
2471,N,1,F,Branca
2475,N,2,M,Branca
2480,N,4,M,Branca
2481,S,2,M,Branca
2482,N,1,M,Branca
2483,N,7,M,Parda
2485,N,3,M,Preta
2486,N,2,M,Branca
2488,N,1,M,Parda
2490,N,1,F,Branca
2492,N,4,F,Branca
2494,N,9,F,Branca
2495,N,4,F,Branca
2496,S,2,F,Branca
2498,S,8,F,Branca
2502,N,4,M,Parda
2504,N,1,F,Branca
2506,N,4,M,Branca
2512,S,10,F,Branca
2514,N,8,F,Branca
2519,S,2,F,Branca
2521,N,8,F,Parda
2522,N,2,F,Branca
2523,N,7,F,Branca
2529,N,1,M,Parda
2530,S,1,M,Branca
2532,N,1,M,Parda
2534,S,2,F,Branca
2535,N,4,F,Branca
2536,N,6,M,Branca
2537,S,10,M,Preta
2538,N,9,M,Parda
2540,N,2,M,Branca
2544,N,1,M,Branca
2545,N,1,M,Branca
2547,N,1,M,Branca
2549,N,1,M,Branca
2550,N,1,M,Branca
2552,S,8,M,Branca
2553,S,2,M,Branca
2556,N,2,M,Branca
2558,N,2,M,Branca
2559,N,6,M,Branca
2561,N,4,M,Branca
2562,N,10,M,Branca
2567,N,1,F,Branca
2568,N,2,F,Branca
2569,N,2,F,Branca
2570,N,2,F,Branca
2571,N,4,F,Amarela
2572,N,2,F,Branca
2574,S,6,F,Branca
2575,S,2,F,Branca
2577,N,1,F,Branca
2578,N,6,F,Amarela
2582,S,8,F,Parda
2583,N,8,F,Branca
2585,N,4,F,Parda
2589,N,2,F,Branca
2591,S,2,F,Branca
2592,S,1,F,Preta
2593,N,6,F,Branca
2594,S,6,F,Parda
2595,N,2,F,Branca
2598,S,4,F,Preta
2599,N,4,F,Branca
2600,S,2,F,Branca
2601,N,2,F,Branca
2602,N,8,F,Branca
2604,S,4,F,Branca
2610,S,10,F,Parda
2611,N,6,F,Branca
2615,N,4,F,Preta
2616,N,6,F,Parda
2618,N,1,F,Branca
2619,N,2,F,Branca
2620,S,6,F,Branca
2621,N,1,F,Branca
2622,N,1,F,Branca
2623,N,3,F,Branca
2624,N,1,F,Parda
2625,N,2,F,Branca
2626,N,1,F,Branca
2627,N,2,F,Preta
2630,S,4,F,Preta
2631,N,1,F,Parda
2632,S,6,F,Parda
2635,N,1,F,Branca
2639,N,1,F,Branca
2640,N,6,F,Parda
2641,N,2,F,Branca
2643,S,7,F,Parda
2647,N,8,F,Branca
2650,N,4,F,Branca
2652,S,3,F,Parda
2656,S,2,F,Branca
