id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
4642,45,2022,27,3660,SISU,Engenharia de Produção,0,Evadido
4648,41,2022,24,3660,SISU,Engenharia de Produção,0,Matriculado
4649,30,2020,13,2850,Obtenção de novo título,Física,0,Evadido
4650,19,2018,1,2850,Vestibular,Física,0,Evadido
4652,22,2022,3,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4654,19,2018,1,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4655,18,2020,1,3660,Vestibular,Engenharia de Produção,0,Matriculado
4659,28,2022,9,3310,Vestibular,Física,0,Matriculado
4660,25,2018,7,2850,Vestibular,Física,0,Evadido
4661,43,2019,24,4073,SISU,Letras,0,Matriculado
4666,38,2021,20,3600,Vestibular,Engenharia Mecânica,0,Evadido
4668,20,2019,3,3660,Transferência externa,Engenharia de Produção,0,Matriculado
4669,20,2019,2,4073,SISU,Letras,0,Matriculado
4672,19,2018,1,2850,SISU,Física,2020,Formado
4675,21,2018,4,3660,Obtenção de novo título,Engenharia de Produção,0,Evadido
4676,33,2019,15,4073,SISU,Letras,0,Matriculado
4678,35,2022,11,3310,Vestibular,Física,0,Matriculado
4681,31,2019,14,2850,SISU,Física,0,Evadido
4683,25,2022,8,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4684,36,2018,18,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4685,18,2019,1,3600,SISU,Engenharia Mecânica,0,Evadido
4688,20,2021,2,3660,Vestibular,Engenharia de Produção,0,Matriculado
4689,19,2019,1,3660,Vestibular,Engenharia de Produção,0,Matriculado
4692,42,2018,11,2850,Vestibular,Física,0,Evadido
4697,22,2018,5,3660,Vestibular,Engenharia de Produção,0,Matriculado
4699,23,2022,5,3660,SISU,Engenharia de Produção,0,Matriculado
4701,29,2022,11,3600,SISU,Engenharia Mecânica,0,Matriculado
4702,19,2018,1,3660,SISU,Engenharia de Produção,0,Evadido
4704,31,2019,13,3660,Vestibular,Engenharia de Produção,0,Evadido
4706,18,2020,1,4073,SISU,Letras,0,Evadido
4707,23,2019,4,3600,SISU,Engenharia Mecânica,0,Evadido
4708,18,2019,1,3660,SISU,Engenharia de Produção,0,Evadido
4710,18,2019,1,2850,SISU,Física,2021,Formado
4711,20,2018,2,3600,Vestibular,Engenharia Mecânica,0,Evadido
4712,19,2021,0,3660,Vestibular,Engenharia de Produção,0,Evadido
4714,27,2020,8,3600,Transferência externa,Engenharia Mecânica,0,Evadido
4715,20,2022,3,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4716,19,2022,1,3660,SISU,Engenharia de Produção,0,Matriculado
4719,29,2019,11,2850,Vestibular,Física,2022,Formado
4721,26,2019,8,3660,Vestibular,Engenharia de Produção,0,Evadido
4722,18,2021,1,3660,SISU,Engenharia de Produção,0,Evadido
4723,19,2022,1,4073,Vestibular,Letras,0,Matriculado
4724,21,2022,3,4073,Vestibular,Letras,0,Matriculado
4725,22,2019,5,3660,SISU,Engenharia de Produção,0,Evadido
4727,18,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
4728,26,2018,9,3660,Vestibular,Engenharia de Produção,0,Evadido
4729,33,2019,12,2850,SISU,Física,0,Evadido
4731,28,2022,10,3660,Transferência externa,Engenharia de Produção,0,Matriculado
4733,43,2020,6,3310,Vestibular,Física,0,Matriculado
4734,27,2021,5,4073,SISU,Letras,0,Evadido
4735,40,2021,22,3310,Vestibular,Física,0,Matriculado
4736,45,2019,21,2850,SISU,Física,2021,Formado
4739,19,2019,1,2850,Vestibular,Física,0,Matriculado
4740,27,2020,3,3310,SISU,Física,0,Evadido
4742,23,2020,5,4073,SISU,Letras,0,Matriculado
4744,20,2019,3,3600,Vestibular,Engenharia Mecânica,0,Matriculado
