id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
7900,S,2,F,Parda
7903,S,5,M,Parda
7904,S,4,M,Parda
7905,S,3,M,Parda
7907,N,10,F,Preta
7923,N,8,M,Parda
7970,N,2,M,Branca
7979,S,8,M,Branca
7990,S,3,M,Parda
7997,N,2,F,Branca
7998,S,5,F,Preta
8000,N,8,F,Parda
8033,S,5,M,Branca
8046,N,5,M,Branca
8047,S,2,M,Parda
8067,S,8,M,Parda
8074,S,3,F,Branca
8093,S,4,M,Parda
8103,S,6,M,Preta
8108,N,8,F,Parda
8109,S,8,F,Parda
8112,S,3,F,Parda
8114,N,8,F,Parda
8116,N,9,F,Branca
8117,S,6,F,Preta
8121,S,8,F,Parda
8170,N,8,F,Branca
8179,S,8,F,Parda
8191,N,3,M,Parda
8201,S,8,M,Branca
8204,N,5,M,Preta
8228,S,3,F,Parda
8231,N,2,F,Parda
8276,S,10,F,Parda
8279,S,10,M,Parda
8281,S,3,M,Parda
8291,S,5,F,Parda
8294,S,5,F,Parda
8295,S,10,F,Parda
8298,S,3,F,Parda
8301,N,4,F,Parda
8309,N,5,F,Parda
8312,S,6,M,Parda
8331,N,8,F,Parda
8344,N,2,F,Branca
8362,N,9,M,Parda
8363,S,10,M,Parda
8370,S,8,M,Parda
8399,S,8,F,Parda
8409,S,7,F,Preta
8413,S,3,M,Parda
8436,S,8,M,Branca
8461,N,1,F,Parda
8463,N,6,F,Branca
8471,N,3,F,Preta
8480,N,6,M,Parda
8483,S,10,M,Parda
8493,S,9,M,Preta
8495,N,9,M,Branca
8509,S,6,M,Branca
8514,S,8,M,Parda
8518,N,5,F,Parda
8521,S,4,M,Parda
8539,N,10,F,Parda
8553,S,8,F,Branca
8556,N,4,F,Parda
8560,S,5,F,Parda
8561,N,9,F,Parda
8565,S,6,F,Amarela
8584,S,2,M,Parda
8616,N,2,M,Parda
8624,N,2,M,Branca
8633,S,6,M,Parda
8658,S,6,F,Parda
8692,N,4,M,Parda
8707,S,3,M,Preta
8709,S,10,F,Branca
8724,N,5,M,Parda
8727,S,8,M,Preta
8737,N,2,F,Parda
8740,S,3,F,Preta
8744,S,3,M,Branca
8755,S,2,M,Parda
8759,S,8,M,Branca
8772,N,3,F,Parda
8774,N,8,F,Parda
8781,S,1,M,Branca
8798,N,2,M,Parda
8800,S,10,F,Preta
8803,S,7,F,Parda
8809,S,7,M,Parda
8817,S,3,F,Parda
8825,N,2,F,Preta
8831,N,9,M,Parda
8845,S,8,F,Branca
8866,S,10,M,Parda
8875,N,5,F,Preta
8888,N,7,M,Parda
8896,S,3,M,Preta
8910,S,3,M,Branca
8911,S,3,F,Preta
8915,S,8,F,Preta
8918,N,8,M,Parda
8921,S,3,M,Parda
8925,S,3,M,Parda
8930,S,10,M,Branca
8938,S,2,M,Branca
8942,S,3,M,Preta
8969,N,8,M,Preta
8973,N,3,F,Parda
8976,N,1,F,Branca
8980,S,1,M,Parda
8982,N,2,M,Parda
8985,N,1,M,Parda
9004,N,3,M,Parda
9026,S,4,M,Parda
9029,N,4,M,Parda
9071,N,1,M,Parda
9084,N,5,M,Parda
9088,N,5,F,Parda
9098,N,2,M,Parda
9102,N,9,F,Parda
9112,N,7,M,Parda
9117,S,5,M,Parda
9132,S,3,M,Parda
9134,N,3,M,Parda
9136,N,1,F,Parda
9137,S,9,M,Parda
9142,S,9,M,Parda
9145,N,7,M,Parda
